pair,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
EURCHF,0.7523032173009712,1.8953672911056838,17.767674793453928,2.194308525190694,3.60958381752988,2.246517846558909,-0.0914696097430121,9.280032573647821,-5.0,3.6600217882473856,13.14454414041684,-2.4918817877334587,-0.38762739655446243,-0.038781002040243595,0.13609320113886036,4.952385355179944,-0.747508999784166
EURGBP,-0.914006704889291,3.211468607761904,2.7704630565223125,10.340953577547909,2.3343755157941253,5.5970130124121695,0.0,6.702998554200693,1.6579505821298701,0.26483700205829797,6.9225834750466255,3.136002208684342,0.5093808762707884,3.8860986442215153,8.153341968782211,9.418494231218538,0.9623390282596339
EURJPY,7.487030587134999,0.9752034140506958,2.3877566246277806,6.085052144456304,2.2903770443415477,3.5260379396621473,2.1876907613550465,7.36567083105618,-3.0,2.796588710237651,0.007180727992448288,4.160933605105041,3.141076785707017,6.4088642227158195,2.599877282187294,8.5839251605347,3.7726574553995116
EURNZD,0.7436866910121142,-2.2370914109372193,3.1451852113159875,1.5126685836704579,-2.1877632962449107,-1.1964514337095724,1.9159543943419979,10.591003707098944,4.976121941489734,-1.447963427498068,1.9685024603509036,8.289250986490408,1.4534447721781694,1.1101223790625392,3.998544087265103,9.562875166562542,1.533373225070145
EURUSD,2.290598539375056,1.8343244081979548,-1.0206522046180264,2.8992310726122397,1.5488085772723026,2.6621216883546754,2.9294656410099105,7.698073489308317,3.116363960902711,6.68605537008556,5.457317724046126,-3.0588042044502313,-0.1954403675011318,3.2103655132016504,-1.0181644165719312,5.005001759512524,1.114871454530924
GBPAUD,1.5701495460899024,9.061085508630272,0.4044846098673709,0.42602543364179557,3.8329429297081528,1.0040432389415859,-0.5096568472381248,4.073376898543452,5.724011783191069,5.404262988786116,2.585992095370127,6.116705165364097,-1.1241568973697156,3.137700784802298,5.504115716168366,-0.2342061191332474,-1.0
GBPCAD,4.8292535397991765,3.35457784946768,1.6213029577391578,9.445372796640324,3.304521921958443,1.6696424086322437,-2.3485370612131184,9.998484799001954,1.1413521729259,1.083591003349116,4.902168878557144,7.799830061094886,4.786520967051533,4.220824729899226,4.1114138726595675,7.479312994915132,-0.5702691426950601
GBPCHF,-3.367973368722896,0.8052804531991653,-0.704242656006544,3.9636080383637347,8.225844301499427,4.521879997310175,-2.4751999099756845,9.358149636089749,-3.046506933526785,1.7378017017320435,4.921876183141507,4.881510981562432,-1.37065998580301,-0.23244485066172227,1.7644659233286586,-1.560099889204633,-1.0
GBPJPY,1.4749781215068185,1.909994083827681,2.824231445600452,6.433882060242533,4.12701892685703,0.17772216783905048,-1.6183872834756885,3.586034401140156,-1.2963873801831687,8.466128812075313,4.01920150395329,-1.1475342668867081,4.185108837644414,9.285361810929086,4.303443495451783,0.1189400051825591,1.8627054661238962
GBPNZD,-0.014901248824224611,3.4255367931818173,6.0010178369460165,1.6950707956270779,1.4446719297807267,5.398055727229487,1.8662501701363516,5.4129960577992815,4.032140842334993,12.930157718448406,-3.6100609417538934,8.649268054492978,2.5742724678382816,-0.2396675251472713,7.866548248466261,8.170345589503192,-1.0
GBPUSD,0.2700657309699902,-1.2259227760279627,0.5700082846911406,3.509695407838994,-3.650002672951807,0.5227351949547301,3.7526603114419403,4.075682461474573,3.706689591765871,1.4645310498677349,4.824257534726726,2.072011866677345,-1.4194361542641745,4.186505574968162,2.0099321188715447,6.713144336623159,2.988063592491928
NZDCAD,8.166231489651539,7.381918032575408,4.649537546789937,10.8771206706259,3.181021734720195,6.784005679951679,7.607165773293542,3.654848948829997,-2.2832898844457308,-3.9037237776043723,5.579112059853581,4.583715545193321,-4.0,2.200574850823335,-3.8976690621017918,5.474069296710377,1.4252300393168755
NZDCHF,6.955895588498354,4.282554761987199,-0.4973860249065243,1.9023663264809831,4.797013916140326,0.9483228746916437,6.013457203508779,-0.3747309358166834,-0.7078318030163866,2.488843689942697,5.02051296557664,4.431490540962546,-1.3888308634012418,-5.686491318854631,1.082905548851706,-5.387196146409835,0.42058841240272704
NZDJPY,0.7940231922224559,2.2691168604890635,4.353527125690823,5.335258876501818,2.5294566677042765,0.8517780614280297,4.755010276830843,4.625260674164615,-4.010790309248141,1.0480740963312987,5.1706866146501005,-0.9609388647719423,3.1434201183287565,7.970237306607987,3.5599159695395644,1.0662064056787268,-1.3896793831035192
NZDUSD,4.279727687313639,1.3981961617874936,1.6684817125406317,5.202647948526145,4.152687015542771,-0.9308927904877435,2.958520203828636,-0.8617716649778195,3.8851265129380277,4.824634687873336,4.170074886214815,-1.4724779811209423,-2.4695661668789786,0.32528538053986056,-1.052594488234276,2.4657541264414538,-1.0
USDCAD,-2.9560061916506806,6.321471769717046,3.560461685173098,3.368613269126219,5.18559749726173,1.8044555192633163,7.578347417853383,2.011469227305073,2.6539256089746672,5.162314068429135,-2.3303353017431143,4.351248975073383,3.6733905529067195,-0.41125844178102944,10.57643155241895,2.493468535904427,2.832178269875671
USDCHF,-1.8660935131573506,2.827843601322513,12.261618177880363,1.5840702298461768,5.4474988893964635,-0.550455779504338,2.2969586253568424,-3.6832896800257906,-0.3404731183743618,2.217106778670223,-1.6795991746393053,6.956004114529203,9.102679413094684,-1.6598037163467365,6.8994786893079345,1.951715524537972,0.45864693760960323
USDJPY,-1.6119749129857701,2.4977468782446333,-0.6274539413289668,2.9641888222625052,0.7442992942813549,5.195984939079033,-1.1392914123766114,2.778389526939517,8.488578958410262,3.6049713793272598,4.640023817407981,7.012354253032287,13.547302086554296,2.3138250947296317,1.7510982572494387,2.832218534100577,0.6198449654689989
